hit_id,x,y,z,volume_id,layer_id,module_id
1,-58.1526,-7.31013,-1502.5,7,2,1
2,-65.0634,-6.24908,-1502.5,7,2,1
3,-94.7731,-4.42445,-1502.5,7,2,1
4,-69.3137,-11.7495,-1502.5,7,2,1
5,-70.8298,-8.2577,-1502.5,7,2,1
6,-79.9924,2.05796,-1502.5,7,2,1
7,-64.9976,-2.78323,-1502.5,7,2,1
8,-58.2375,-0.49579,-1502.5,7,2,1
9,-74.8062,-7.91864,-1502.5,7,2,1
10,-36.7643,-3.77112,-1502.5,7,2,1
11,-64.1719,-9.89035,-1502.5,7,2,1
12,-83.7874,-9.22733,-1502.5,7,2,1
13,-85.6114,-5.40867,-1502.5,7,2,1
14,-85.3255,-6.8908,-1502.5,7,2,1
15,-83.9783,-13.2547,-1502.5,7,2,1
16,-57.265,1.48662,-1502.5,7,2,1
17,-58.2089,-12.33,-1502.5,7,2,1
18,-175.24,-11.3803,-1502,7,2,2
19,-163.723,-14.9522,-1502,7,2,2
20,-116.682,-6.22044,-1502,7,2,2
21,-129.479,-12.1678,-1502,7,2,2
22,-137.446,-5.47858,-1502,7,2,2
23,-105.818,-9.97268,-1502,7,2,2
24,-126.66,-3.72857,-1502,7,2,2
25,-108.941,-2.10851,-1502,7,2,2
26,-106.617,-3.05221,-1502,7,2,2
27,-135.295,-0.273693,-1502,7,2,2
28,-152.675,-14.9615,-1498,7,2,3
29,-141.969,-26.3415,-1498,7,2,3
30,-133.155,-20.7199,-1498,7,2,3
31,-129.121,-12.1807,-1498,7,2,3
32,-109.588,-16.2208,-1498,7,2,3
33,-163.297,-14.8277,-1498,7,2,3
34,-133.534,-18.6524,-1498,7,2,3
35,-113.119,-17.1172,-1498,7,2,3
36,-104.527,-21.2195,-1498,7,2,3
37,-119.438,-13.8429,-1498,7,2,3
38,-110.767,-14.6183,-1498,7,2,3
39,-105.544,-9.90147,-1498,7,2,3
40,-130.039,-23.9201,-1498,7,2,3
41,-54.1457,-20.481,-1498,7,2,4
42,-63.9817,-9.83293,-1498,7,2,4
43,-57.2297,-20.1266,-1498,7,2,4
44,-58.0079,-12.3067,-1498,7,2,4
45,-57.9368,-7.30184,-1498,7,2,4
46,-94.8333,-23.9244,-1498,7,2,4
47,-49.8121,-18.515,-1498,7,2,4
48,-69.0808,-11.7256,-1498,7,2,4
49,-68.7846,-16.7451,-1498,7,2,4
50,-97.8405,-28.5133,-1498,7,2,4
51,-89.5983,-27.5012,-1498,7,2,4
52,-83.7022,-13.2305,-1498,7,2,4
53,-96.1983,-18.2873,-1498,7,2,4
54,-69.811,-19.7682,-1498,7,2,4
55,-56.9341,-16.7796,-1498,7,2,4
56,-62.0838,-15.1364,-1498,7,2,4
57,-74.5482,-16.1234,-1498,7,2,4
58,-129.588,-32.5995,-1502,7,2,5
59,-101.74,-21.7974,-1502,7,2,5
60,-106.306,-17.3326,-1502,7,2,5
61,-171.288,-36.1518,-1502,7,2,5
62,-104.569,-33.0439,-1502,7,2,5
63,-115.56,-35.2694,-1502,7,2,5
64,-119.291,-23.4491,-1502,7,2,5
65,-163.786,-47.0813,-1502,7,2,5
66,-142.341,-26.3644,-1502,7,2,5
67,-106.042,-33.2361,-1502,7,2,5
68,-109.732,-23.9339,-1502,7,2,5
69,-64.021,-29.7385,-1502,7,2,6
70,-59.8745,-29.1034,-1502,7,2,6
71,-69.9274,-37.3805,-1502,7,2,6
72,-54.3209,-20.5251,-1502,7,2,6
73,-66.6072,-24.9648,-1502,7,2,6
74,-48.9344,-26.033,-1502,7,2,6
75,-51.5904,-27.9991,-1502,7,2,6
76,-66.0324,-24.6726,-1502,7,2,6
77,-56.3984,-30.8565,-1502,7,2,6
78,-92.774,-37.3787,-1502,7,2,6
79,-64.9827,-25.2119,-1502,7,2,6
80,-49.2851,-29.1549,-1502,7,2,6
81,-30.1417,-21.2795,-1502,7,2,6
82,-76.5264,-36.0008,-1502,7,2,6
