hit_id,particle_id,tx,ty,tz,tpx,tpy,tpz,weight,x,y,z,volume_id,layer_id,module_id
1,0,-64.4116,-7.16412,-1502.5,250710.0,-149908.0,-956385.0,0.0,-64.4099,-7.1637,-1502.5,7,2,1
2,22525763437723648,-55.3385,0.630805,-1502.5,-0.570605,0.0283904,-15.4922,9.86408e-06,-55.3361,0.635342,-1502.5,7,2,1
3,0,-83.828,-1.14558,-1502.5,626295.0,-169767.0,-760877.0,0.0,-83.8305,-1.14301,-1502.5,7,2,1
4,297237712845406208,-96.1229,-8.23036,-1502.5,-0.225235,-0.0509684,-3.70232,8.13311e-06,-96.1091,-8.24103,-1502.5,7,2,1
5,418835796137607168,-62.6594,-9.37504,-1502.5,-0.281806,-0.023487,-6.57318,8.87338e-06,-62.6736,-9.3712,-1502.5,7,2,1
6,108087696726949888,-57.0856,-8.18971,-1502.5,-0.401129,-0.035276,-10.4669,8.13311e-06,-57.0687,-8.17777,-1502.5,7,2,1
7,968286151951515648,-73.8608,-2.57586,-1502.5,-0.442662,-0.0369686,-9.1301,6.96788e-06,-73.8723,-2.5789,-1502.5,7,2,1
8,954766419537428480,-63.8512,-10.8754,-1502.5,-0.670459,-0.0926088,-15.5407,1.13644e-05,-63.8535,-10.8684,-1502.5,7,2,1
9,707072769359085568,-97.2489,-10.9067,-1502.5,-0.279789,-0.0621434,-4.41292,8.13311e-06,-97.2548,-10.8891,-1502.5,7,2,1
10,67554956483231744,-90.2763,-3.24397,-1502.5,-0.251752,-0.0371381,-4.24922,6.45466e-06,-90.2929,-3.26937,-1502.5,7,2,1
11,274720539342274560,-59.1974,-0.647788,-1502.5,-0.208248,-0.018635,-5.283,8.13311e-06,-59.183,-0.670508,-1502.5,7,2,1
12,0,-42.6177,-10.6661,-1502.5,-270443.0,83056.7,-959147.0,0.0,-42.6239,-10.6612,-1502.5,7,2,1
13,63061596057894912,-72.5146,2.62395,-1502.5,-0.264801,0.0295635,-5.52233,6.96788e-06,-72.534,2.64219,-1502.5,7,2,1
14,707068508751527936,-63.5152,-1.85185,-1502.5,-0.218837,-0.0294531,-5.28927,8.13311e-06,-63.5012,-1.86299,-1502.5,7,2,1
15,63064276117487616,-63.4467,-3.24381,-1502.5,-0.203056,0.0117957,-4.807,6.96788e-06,-63.4365,-3.26222,-1502.5,7,2,1
16,67554612885848064,-57.3076,-5.08441,-1502.5,-0.205477,-0.038563,-5.5643,6.96788e-06,-57.3119,-5.08732,-1502.5,7,2,1
17,824159968759382016,-97.2745,-6.5533,-1502.5,-0.452092,-0.0030149,-6.98815,8.13311e-06,-97.2557,-6.57587,-1502.5,7,2,1
18,103584646855393280,-79.9894,-7.17084,-1502.5,-0.854836,-0.100101,-16.1965,9.62518e-06,-79.9994,-7.17379,-1502.5,7,2,1
19,878204126360502272,-100.931,0.397845,-1502.5,-0.642083,-0.0345362,-9.62226,7.96041e-06,-100.922,0.407992,-1502.5,7,2,1
20,211686362355597312,-57.1352,2.7655,-1502.5,-0.226328,0.0289454,-5.8074,7.47422e-06,-57.1388,2.75042,-1502.5,7,2,1
21,616995416692490240,-68.1281,-9.31646,-1502.5,-0.426204,-0.0793354,-9.49294,6.96788e-06,-68.1471,-9.30043,-1502.5,7,2,1
22,4513426512543744,-136.296,0.31258,-1502.0,-0.608866,-0.037642,-6.74693,7.83999e-06,-136.308,0.330197,-1502.0,7,2,2
23,535931585472495616,-110.543,2.52592,-1502.0,-0.321227,-0.0293715,-4.47207,7.47422e-06,-110.555,2.52188,-1502.0,7,2,2
24,819655956815151104,-129.155,-3.81334,-1502.0,-0.41233,-0.048644,-4.90468,5.79264e-06,-129.148,-3.79354,-1502.0,7,2,2
25,418837307966095360,-153.197,-12.6789,-1502.0,-0.30882,-0.0699229,-3.11756,6.56826e-06,-153.202,-12.6639,-1502.0,7,2,2
26,761110055012532224,-136.487,-9.10188,-1502.0,-0.19618,0.0235197,-2.07384,6.56826e-06,-136.492,-9.08835,-1502.0,7,2,2
27,801644925560029184,-150.709,-10.1504,-1502.0,-2.58594,-0.221107,-25.8104,2.24259e-05,-150.699,-10.1456,-1502.0,7,2,2
28,211690073207341056,-174.027,-2.03418,-1502.0,-0.660633,-0.0550801,-5.77455,4.5932e-06,-174.038,-2.01485,-1502.0,7,2,2
29,139619285029879808,-103.964,-15.9591,-1498.0,-0.191132,-0.0563997,-2.81657,6.56826e-06,-103.95,-15.9393,-1498.0,7,2,3
30,225187609230442496,-143.563,-16.1496,-1498.0,-0.570538,-0.0187072,-5.81414,7.68332e-06,-143.559,-16.1636,-1498.0,7,2,3
31,0,-152.171,-23.8064,-1498.0,339705.0,-13076.4,-940441.0,0.0,-152.17,-23.8135,-1498.0,7,2,3
32,873702863195340800,-104.364,-13.7625,-1498.0,-0.595077,-0.0483707,-8.49255,8.61307e-06,-104.363,-13.7755,-1498.0,7,2,3
33,873724303672082432,-115.451,-14.9921,-1498.0,-0.353916,-0.0849795,-4.73063,8.87338e-06,-115.442,-14.9676,-1498.0,7,2,3
34,445865090483224576,-109.883,-21.175,-1498.0,-0.317358,-0.0942679,-4.44283,6.56826e-06,-109.871,-21.1573,-1498.0,7,2,3
35,657538052540858368,-79.3386,-17.9746,-1498.0,-0.212151,-0.0245096,-3.87838,8.13311e-06,-79.3203,-17.989,-1498.0,7,2,4
36,801651522629795840,-87.6299,-17.1524,-1498.0,-0.908909,-0.207412,-15.7444,1.27458e-05,-87.6197,-17.1534,-1498.0,7,2,4
37,216185151619596288,-96.7747,-23.3499,-1498.0,-0.150624,-0.0533888,-2.81868,8.87338e-06,-96.7733,-23.3618,-1498.0,7,2,4
38,418835796137607168,-62.467,-9.35879,-1498.0,-0.279476,-0.0237028,-6.57378,7.55881e-06,-62.4736,-9.36801,-1498.0,7,2,4
39,139619216310403072,-85.6362,-16.1372,-1498.0,-0.643107,-0.0889951,-11.2041,8.00706e-06,-85.6386,-16.1345,-1498.0,7,2,4
40,810658172128722944,-77.2327,-25.4656,-1498.0,-0.229296,-0.050519,-4.24259,4.92053e-06,-77.2376,-25.4592,-1498.0,7,2,4
41,27031974405210112,-83.1449,-28.4195,-1498.0,-0.484582,-0.193459,-8.87085,5.98e-06,-83.1324,-28.417,-1498.0,7,2,4
42,873704581182259200,-77.4591,-17.2103,-1498.0,-0.203954,-0.0756689,-4.16814,6.45466e-06,-77.468,-17.2358,-1498.0,7,2,4
43,108087696726949888,-56.9131,-8.17429,-1498.0,-0.40162,-0.0365732,-10.4675,7.04869e-06,-56.9143,-8.18761,-1498.0,7,2,4
