Layer_Index,Wedge_Index,Wedge_Start_Rad,Wedge_End_Rad,Wedge_Start_Degrees,Wedge_End_Degrees
0,0,0.000000,0.049087,0.000000,2.812500
1,0,-0.001195,0.050283,-0.068480,2.880980
2,0,-0.002513,0.051601,-0.144008,2.956508
3,0,-0.004193,0.053280,-0.240214,3.052714
0,1,0.049087,0.098175,2.812500,5.625000
1,1,0.047892,0.099370,2.744020,5.693480
2,1,0.046574,0.100688,2.668492,5.769008
3,1,0.044895,0.102367,2.572286,5.865214
0,2,0.098175,0.147262,5.625000,8.437500
1,2,0.096980,0.148457,5.556520,8.505980
2,2,0.095661,0.149776,5.480992,8.581508
3,2,0.093982,0.151455,5.384786,8.677714
0,3,0.147262,0.196350,8.437500,11.250000
1,3,0.146067,0.197545,8.369020,11.318480
2,3,0.144749,0.198863,8.293492,11.394008
3,3,0.143070,0.200542,8.197286,11.490214
0,4,0.196350,0.245437,11.250000,14.062500
1,4,0.195154,0.246632,11.181520,14.130980
2,4,0.193836,0.247950,11.105992,14.206508
3,4,0.192157,0.249629,11.009786,14.302714
0,5,0.245437,0.294524,14.062500,16.875000
1,5,0.244242,0.295720,13.994020,16.943480
2,5,0.242924,0.297038,13.918492,17.019008
3,5,0.241244,0.298717,13.822286,17.115214
0,6,0.294524,0.343612,16.875000,19.687500
1,6,0.293329,0.344807,16.806520,19.755980
2,6,0.292011,0.346125,16.730992,19.831508
3,6,0.290332,0.347804,16.634786,19.927714
0,7,0.343612,0.392699,19.687500,22.500000
1,7,0.342416,0.393894,19.619020,22.568480
2,7,0.341098,0.395212,19.543492,22.644008
3,7,0.339419,0.396892,19.447286,22.740214
0,8,0.392699,0.441786,22.500000,25.312500
1,8,0.391504,0.442982,22.431520,25.380980
2,8,0.390186,0.444300,22.355992,25.456508
3,8,0.388507,0.445979,22.259786,25.552714
0,9,0.441786,0.490874,25.312500,28.125000
1,9,0.440591,0.492069,25.244020,28.193480
2,9,0.439273,0.493387,25.168492,28.269008
3,9,0.437594,0.495066,25.072286,28.365214
0,10,0.490874,0.539961,28.125000,30.937500
1,10,0.489679,0.541156,28.056520,31.005980
2,10,0.488360,0.542475,27.980992,31.081508
3,10,0.486681,0.544154,27.884786,31.177714
