event,particle_id,hit_id,layer,wedge_id,module_id,x,y,z,tpx,tpy,tpz,phi
1000,4503668346847232,20880,1,36,109,-0.636936,3.16032,-2.00858,-0.0748728,0.319162,-0.203232,101.395
1000,4503668346847232,29323,2,36,218,-1.69579,7.10024,-4.56394,-0.0964283,0.311619,-0.204427,103.433
1000,4503668346847232,35621,3,37,302,-3.11891,11.2046,-7.32057,-0.11823,0.302181,-0.206065,105.555
1000,4503668346847232,42238,4,38,453,-5.45606,16.2825,-10.8477,-0.151918,0.28737,-0.204184,108.525
1000,4503737066323968,23346,1,54,127,-2.80381,1.42383,5.95952,-0.939812,0.487721,2.00965,153.078
1000,4503737066323968,31387,2,54,286,-6.3948,3.34323,13.6875,-0.927717,0.50962,2.00925,152.399
1000,4503737066323968,38927,3,53,568,-10.1806,5.47059,21.927,-0.916357,0.530504,2.00761,151.748
1000,4503737066323968,38927,3,54,568,-10.1806,5.47059,21.927,-0.916357,0.530504,2.00761,151.748
1000,4503737066323968,45412,4,53,930,-14.9671,8.35669,32.5158,-0.897995,0.560857,2.00712,150.824
1000,4503874505277440,22123,1,103,118,1.15854,-3.18066,4.62996,0.23921,-0.684162,0.990678,290.014
1000,4503874505277440,30926,2,102,266,2.35304,-6.79521,9.82882,0.216611,-0.692209,0.989441,289.1
1000,4503874505277440,38204,3,102,484,3.57762,-10.9875,15.7969,0.190587,-0.698334,0.989925,288.036
1000,4503874505277440,44792,4,101,804,4.9592,-16.5854,23.6917,0.156053,-0.705618,0.990122,286.647
1000,4503874505277440,44792,4,102,804,4.9592,-16.5854,23.6917,0.156053,-0.705618,0.990122,286.647
1000,4503943224754176,19962,1,112,102,2.32818,-2.20231,-5.65004,16.4252,-15.5632,-39.8248,316.591
1000,4503943224754176,20010,1,112,103,2.43437,-2.30453,-5.90947,16.4246,-15.5636,-39.8248,316.569
1000,4503943224754176,27956,2,112,173,5.27412,-4.99856,-12.7993,16.4073,-15.5823,-39.824,316.537
1000,4504011944230912,19817,1,104,101,1.35537,-2.90913,-6.07344,0.776915,-1.69321,-3.52085,294.981
1000,4504011944230912,19904,1,104,102,1.4072,-3.02494,-6.31433,0.776196,-1.69358,-3.52078,294.948
1000,4504011944230912,27902,2,104,171,3.01243,-6.59794,-13.7076,0.753861,-1.70552,-3.51935,294.54
1000,4504011944230912,34321,3,104,173,4.73403,-10.5656,-21.8694,0.729811,-1.71571,-3.51891,294.135
1000,4504011944230912,40692,4,104,181,6.89701,-15.759,-32.5135,0.699648,-1.72335,-3.52072,293.637
1000,4504355541614592,21312,1,62,112,-3.18411,0.255452,-1.3573,-0.502658,0.0298633,-0.212728,175.413
1000,4504355541614592,29560,2,62,224,-7.17687,0.389358,-3.05851,-0.502341,0.00507605,-0.214136,176.895
1000,4504355541614592,36615,3,63,364,-11.5754,0.346508,-4.901,-0.503197,-0.0189257,-0.210121,178.285
1000,4504355541614592,41778,4,63,391,-17.2785,-0.0475314,-7.28089,-0.500024,-0.0514902,-0.20987,180.158
1000,4504355541614592,41778,4,64,391,-17.2785,-0.0475314,-7.28089,-0.500024,-0.0514902,-0.20987,180.158
1000,4504355541614592,42370,4,63,468,-17.089,-0.0285089,-7.20194,-0.500523,-0.0504104,-0.209089,180.096
1000,4504355541614592,42370,4,64,468,-17.089,-0.0285089,-7.20194,-0.500523,-0.0504104,-0.209089,180.096
1000,4504424261091328,21292,1,58,112,-3.15081,0.845817,-1.0242,-1.65684,0.434575,-0.533664,164.974
1000,4504424261091328,29536,2,58,223,-6.95808,1.81363,-2.24773,-1.66217,0.409952,-0.533552,165.391
1000,4504424261091328,36584,3,58,362,-11.2019,2.82688,-3.60673,-1.668,0.384746,-0.532481,165.837
1000,4504424261091328,36584,3,59,362,-11.2019,2.82688,-3.60673,-1.668,0.384746,-0.532481,165.837
1000,4504424261091328,36610,3,58,363,-11.4025,2.87304,-3.67035,-1.66838,0.38349,-0.532064,165.858
1000,4504424261091328,36610,3,59,363,-11.4025,2.87304,-3.67035,-1.66838,0.38349,-0.532064,165.858
1000,4504424261091328,42986,4,59,543,-16.6534,4.0335,-5.33425,-1.67473,0.353956,-0.530001,166.385
