event_id,particle_id,hit_id,volume_id,layer_id,module_id,x,y,z,tx,ty,tz,tpx,tpy,tpz,weight
1000,4503668346847232,20880,8,2,109,-6.36936,31.6032,-20.0858,-6.37305,31.6019,-20.08,-0.0748728,0.319162,-0.203232,1.81814e-05
1000,4503668346847232,29323,8,4,218,-16.9579,71.0024,-45.6394,-16.9621,71.0005,-45.6381,-0.0964283,0.311619,-0.204427,1.40257e-05
1000,4503668346847232,35621,8,6,302,-31.1891,112.046,-73.2057,-31.1884,112.046,-73.2019,-0.11823,0.302181,-0.206065,1.03894e-05
1000,4503668346847232,42238,8,8,453,-54.5606,162.825,-108.477,-54.5593,162.826,-108.475,-0.151918,0.28737,-0.204184,7.53231e-06
1000,4503668346847232,73763,13,2,353,-105.032,240.366,-166.7,-105.022,240.369,-166.449,-0.200451,0.254855,-0.20186,5.45443e-06
1000,4503668346847232,80881,13,4,495,-176.989,315.606,-231.56,-177.02,315.594,-231.375,-0.24646,0.210003,-0.201005,5.45443e-06
1000,4503668346847232,87265,13,6,613,-303.845,396.164,-325.2,-303.834,396.17,-325.032,-0.288603,0.130892,-0.198512,8.57124e-06
1000,4503668346847232,113565,17,4,454,-1010.73,125.907,-861.8,-1010.74,125.905,-862.786,-0.120391,-0.286054,-0.203332,1.09089e-05
1000,4503737066323968,23346,8,2,127,-28.0381,14.2383,59.5952,-28.0378,14.2389,59.5942,-0.939812,0.487721,2.00965,2.56707e-05
1000,4503737066323968,31387,8,4,286,-63.948,33.4323,136.875,-63.9469,33.4354,136.885,-0.927717,0.50962,2.00925,2.15634e-05
1000,4503737066323968,38927,8,6,568,-101.806,54.7059,219.27,-101.805,54.7092,219.265,-0.916357,0.530504,2.00761,1.74561e-05
1000,4503737066323968,45412,8,8,930,-149.671,83.5669,325.158,-149.672,83.5663,325.155,-0.897995,0.560857,2.00712,1.43756e-05
1000,4503737066323968,77184,13,2,637,-223.093,131.876,491.0,-223.106,131.861,491.433,-0.871707,0.601124,2.00323,1.18085e-05
1000,4503737066323968,84457,13,4,1003,-306.433,192.875,686.8,-306.42,192.889,686.764,-0.83602,0.651281,2.00146,7.70122e-06
1000,4503737066323968,84463,13,4,1004,-301.657,189.183,675.2,-301.654,189.188,675.361,-0.837712,0.64844,2.00177,7.70122e-06
1000,4503737066323968,91226,13,6,1553,-411.88,281.453,946.8,-411.882,281.451,946.724,-0.791802,0.711076,1.99806,7.70122e-06
1000,4503737066323968,98408,14,2,152,-514.881,380.827,1215.5,-514.949,380.88,1215.5,-0.741804,0.761997,1.99712,9.75488e-06
1000,4503737066323968,119070,18,4,87,-615.181,491.218,1497.5,-616.265,492.142,1497.5,-0.688909,0.811317,1.99556,1.33488e-05
