hit_id,x,y,z,volume_id,layer_id,module_id,phi_rad,wedge_index
16947,-33.608900,-0.632607,-309.713000,8,2,33,-3.122772,0
17160,-33.236500,-0.197647,-237.618000,8,2,49,-3.135646,0
17579,-31.502200,-0.227794,-225.647000,8,2,64,-3.134362,0
17592,-33.726800,-0.295470,-199.096000,8,2,65,-3.132832,0
18151,-31.998800,-0.241038,-188.927000,8,2,80,-3.134060,0
17587,-33.526200,-0.869191,-160.871000,8,2,65,-3.115673,0
18135,-32.035400,-0.889807,-153.210000,8,2,80,-3.113824,0
18183,-33.271500,-0.097509,-124.404000,8,2,81,-3.138662,0
19178,-31.490500,-0.019716,-117.999000,8,2,96,-3.140967,0
18173,-33.069800,-0.674372,-115.917000,8,2,81,-3.121203,0
18203,-33.304300,-0.003799,-111.014000,8,2,81,-3.141479,0
19166,-31.527700,-0.679205,-110.987000,8,2,96,-3.120053,0
18196,-33.202800,-0.294005,-90.103700,8,2,81,-3.132738,0
19185,-31.507800,-0.326808,-86.016300,8,2,96,-3.131221,0
18172,-32.838200,-1.336840,-79.838100,8,2,81,-3.100905,0
19162,-31.561900,-1.287080,-76.449800,8,2,96,-3.100836,0
18222,-33.171000,-0.385132,-74.608300,8,2,81,-3.129983,0
19183,-31.511300,-0.388504,-71.143100,8,2,96,-3.129264,0
19242,-33.584000,-0.703990,-69.041600,8,2,97,-3.120634,0
19268,-33.675900,-0.441134,-68.817400,8,2,97,-3.128494,0
21323,-32.024200,-0.690324,-65.931500,8,2,112,-3.120040,0
21268,-32.007300,-0.390800,-65.200100,8,2,112,-3.129384,0
19281,-33.265200,-1.615830,-64.908700,8,2,97,-3.093057,0
19313,-33.341800,-1.396760,-64.025200,8,2,97,-3.099725,0
19196,-33.604300,-0.645739,-63.879400,8,2,97,-3.122379,0
21385,-32.027000,-0.740244,-63.715600,8,2,112,-3.118484,0
21382,-32.060800,-1.339290,-61.685700,8,2,112,-3.099843,0
21321,-32.018500,-0.590483,-60.600800,8,2,112,-3.123153,0
19234,-33.680900,-0.426687,-60.426400,8,2,97,-3.128925,0
21333,-32.004500,-0.340880,-58.360000,8,2,112,-3.130942,0
19233,-33.327100,-1.438600,-42.859700,8,2,97,-3.098453,0
21344,-32.063600,-1.389210,-41.277000,8,2,112,-3.098293,0
19217,-33.661500,-0.482132,-27.780700,8,2,97,-3.127271,0
21391,-32.007300,-0.390800,-26.577200,8,2,112,-3.129384,0
19301,-33.441200,-1.112320,-16.518300,8,2,97,-3.108343,0
21357,-32.041100,-0.989847,-16.045400,8,2,112,-3.110709,0
19206,-33.656000,-0.498075,-15.642900,8,2,97,-3.126795,0
21270,-32.012900,-0.490641,-14.822600,8,2,112,-3.126268,0
19292,-33.420100,-1.172560,-9.378130,8,2,97,-3.106522,0
21263,-32.051100,-1.168090,-9.265630,8,2,112,-3.105164,0
19208,-33.384100,-1.275650,-6.516450,8,2,97,-3.103400,0
21356,-32.055100,-1.239450,-6.340630,8,2,112,-3.102946,0
21480,-33.221200,-0.241394,3.978130,8,2,113,-3.134327,0
23501,-31.502200,-0.227650,4.034370,8,2,128,-3.134366,0
23413,-31.539400,-0.887710,16.364800,8,2,128,-3.113454,0
21426,-33.006400,-0.855924,17.665400,8,2,113,-3.115666,0
23456,-31.554400,-1.153900,19.285700,8,2,128,-3.105040,0
21409,-32.901600,-1.155550,20.322800,8,2,113,-3.106486,0
23519,-31.522500,-0.588186,23.840400,8,2,128,-3.122936,0
21410,-33.077700,-0.651894,25.096500,8,2,113,-3.121887,0
23421,-31.511300,-0.388504,29.476300,8,2,128,-3.129264,0
21393,-33.151500,-0.440904,30.881200,8,2,113,-3.128294,0
23417,-31.510300,-0.371814,31.474000,8,2,128,-3.129793,0
