Layer_Index,Wedge_Index,Wedge_Start_Rad,Wedge_End_Rad,Wedge_Start_Degrees,Wedge_End_Degrees
1,0,0.000000,0.049087,0.000000,2.812500
2,0,6.281021,0.051252,359.875977,2.936517
3,0,6.279703,0.052570,359.800446,3.012044
4,0,6.278024,0.054249,359.704254,3.108251
1,1,0.049087,0.098175,2.812500,5.625000
2,1,0.046923,0.100339,2.688483,5.749017
3,1,0.045605,0.101657,2.612956,5.824544
4,1,0.043926,0.103337,2.516749,5.920751
1,2,0.098175,0.147262,5.625000,8.437500
2,2,0.096010,0.149427,5.500983,8.561517
3,2,0.094692,0.150745,5.425456,8.637044
4,2,0.093013,0.152424,5.329249,8.733251
1,3,0.147262,0.196350,8.437500,11.250000
2,3,0.145098,0.198514,8.313483,11.374017
3,3,0.143779,0.199832,8.237955,11.449544
4,3,0.142100,0.201511,8.141749,11.545751
1,4,0.196350,0.245437,11.250000,14.062500
2,4,0.194185,0.247601,11.125983,14.186517
3,4,0.192867,0.248920,11.050455,14.262045
4,4,0.191188,0.250599,10.954249,14.358252
1,5,0.245437,0.294524,14.062500,16.875000
2,5,0.243272,0.296689,13.938483,16.999018
3,5,0.241954,0.298007,13.862956,17.074545
4,5,0.240275,0.299686,13.766749,17.170752
1,6,0.294524,0.343612,16.875000,19.687500
2,6,0.292360,0.345776,16.750982,19.811518
3,6,0.291042,0.347094,16.675457,19.887045
4,6,0.289362,0.348774,16.579250,19.983250
1,7,0.343612,0.392699,19.687500,22.500000
2,7,0.341447,0.394864,19.563484,22.624016
3,7,0.340129,0.396182,19.487955,22.699545
4,7,0.338450,0.397861,19.391748,22.795752
1,8,0.392699,0.441786,22.500000,25.312500
2,8,0.390535,0.443951,22.375982,25.436518
3,8,0.389216,0.445269,22.300455,25.512045
4,8,0.387537,0.446948,22.204250,25.608252
1,9,0.441786,0.490874,25.312500,28.125000
2,9,0.439622,0.493038,25.188482,28.249018
3,9,0.438304,0.494357,25.112957,28.324545
4,9,0.436625,0.496036,25.016750,28.420750
1,10,0.490874,0.539961,28.125000,30.937498
2,10,0.488709,0.542126,28.000984,31.061518
3,10,0.487391,0.543444,27.925455,31.137043
4,10,0.485712,0.545123,27.829248,31.233250
1,11,0.539961,0.589049,30.937498,33.750000
2,11,0.537797,0.591213,30.813482,33.874016
3,11,0.536479,0.592531,30.737955,33.949543
4,11,0.534799,0.594210,30.641748,34.045750
1,12,0.589049,0.638136,33.750000,36.562500
2,12,0.586884,0.640301,33.625984,36.686516
3,12,0.585566,0.641619,33.550457,36.762047
4,12,0.583887,0.643298,33.454250,36.858253
1,13,0.638136,0.687223,36.562500,39.375000
2,13,0.635971,0.689388,36.438480,39.499020
3,13,0.634653,0.690706,36.362957,39.574543
4,13,0.632974,0.692385,36.266750,39.670750
1,14,0.687223,0.736311,39.375000,42.187500
2,14,0.685059,0.738475,39.250984,42.311516
3,14,0.683741,0.739793,39.175453,42.387043
4,14,0.682062,0.741473,39.079247,42.483250
1,15,0.736311,0.785398,42.187500,45.000000
2,15,0.734146,0.787563,42.063484,45.124016
3,15,0.732828,0.788881,41.987957,45.199547
4,15,0.731149,0.790560,41.891750,45.295753
1,16,0.785398,0.834486,45.000000,47.812500
2,16,0.783234,0.836650,44.875980,47.936520
3,16,0.781915,0.837968,44.800457,48.012043
4,16,0.780236,0.839647,44.704250,48.108250
1,17,0.834486,0.883573,47.812500,50.625000
2,17,0.832321,0.885737,47.688484,50.749016
3,17,0.831003,0.887056,47.612953,50.824543
4,17,0.829324,0.888735,47.516747,50.920750
1,18,0.883573,0.932660,50.625000,53.437500
2,18,0.881408,0.934825,50.500984,53.561516
3,18,0.880090,0.936143,50.425457,53.637047
4,18,0.878411,0.937822,50.329250,53.733253
1,19,0.932660,0.981748,53.437500,56.250000
2,19,0.930496,0.983912,53.313480,56.374020
3,19,0.929178,0.985230,53.237953,56.449543
4,19,0.927499,0.986910,53.141750,56.545750
1,20,0.981748,1.030835,56.250000,59.062496
2,20,0.979583,1.033000,56.125984,59.186520
3,20,0.978265,1.034318,56.050453,59.262047
4,20,0.976586,1.035997,55.954247,59.358250
1,21,1.030835,1.079922,59.062496,61.874996
2,21,1.028671,1.082087,58.938480,61.999012
3,21,1.027352,1.083405,58.862953,62.074543
4,21,1.025673,1.085084,58.766750,62.170753
1,22,1.079922,1.129010,61.874996,64.687500
2,22,1.077758,1.131174,61.750980,64.811516
3,22,1.076440,1.132493,61.675453,64.887047
4,22,1.074761,1.134172,61.579250,64.983253
1,23,1.129010,1.178097,64.687500,67.500000
2,23,1.126845,1.180262,64.563484,67.624016
3,23,1.125527,1.181580,64.487953,67.699547
4,23,1.123848,1.183259,64.391754,67.795746
1,24,1.178097,1.227185,67.500000,70.312500
2,24,1.175933,1.229349,67.375984,70.436516
3,24,1.174615,1.230667,67.300453,70.512047
4,24,1.172935,1.232346,67.204247,70.608246
1,25,1.227185,1.276272,70.312500,73.125000
2,25,1.225020,1.278437,70.188484,73.249016
3,25,1.223702,1.279755,70.112961,73.324547
4,25,1.222023,1.281434,70.016747,73.420746
1,26,1.276272,1.325359,73.125000,75.937500
2,26,1.274107,1.327524,73.000977,76.061516
3,26,1.272789,1.328842,72.925461,76.137047
4,26,1.271110,1.330521,72.829247,76.233253
1,27,1.325359,1.374447,75.937500,78.750000
2,27,1.323195,1.376611,75.813484,78.874016
3,27,1.321877,1.377929,75.737953,78.949539
4,27,1.320198,1.379609,75.641747,79.045753
1,28,1.374447,1.423534,78.750000,81.562500
2,28,1.372282,1.425699,78.625984,81.686516
3,28,1.370964,1.427017,78.550453,81.762047
4,28,1.369285,1.428696,78.454254,81.858253
1,29,1.423534,1.472622,81.562500,84.375000
2,29,1.421370,1.474786,81.438484,84.499016
3,29,1.420051,1.476104,81.362953,84.574547
4,29,1.418372,1.477783,81.266754,84.670746
1,30,1.472622,1.521709,84.375000,87.187500
2,30,1.470457,1.523873,84.250984,87.311516
3,30,1.469139,1.525192,84.175453,87.387047
4,30,1.467460,1.526871,84.079247,87.483246
1,31,1.521709,1.570796,87.187500,90.000000
2,31,1.519544,1.572961,87.063484,90.124016
3,31,1.518226,1.574279,86.987961,90.199547
4,31,1.516547,1.575958,86.891747,90.295753
1,32,1.570796,1.619884,90.000000,92.812500
2,32,1.568632,1.622048,89.875977,92.936516
3,32,1.567314,1.623366,89.800461,93.012047
4,32,1.565634,1.625046,89.704247,93.108253
1,33,1.619884,1.668971,92.812500,95.625000
2,33,1.617719,1.671136,92.688484,95.749016
